Cod_Proyecto|NombreProyecto|Institucion|Representante|CargoRepresentante|Direccion|Ciudad|IdPais|Tlf1Proyecto|FaxProyecto|Fax1Proyecto|Fax2Proyecto|PaginaWebProyecto|EmailProyecto|ApartadoProyecto|TelexProyecto|Cod_InstitucionEjecutora|NombreInstitucion|RepresentanteInstitucion|CargoRepresentanteInst|DireccionInstitucion|CiudadInstitucion|PaisInstitucion|Telefono1|Telefono2|Fax1|Fax2|Email|PaginaWeb|ApartadoAereo|TelexInstitucion|NombreProfesional|Profesion|DireccionProfesional|CiudadProfesional|PaisProfesional|Tlf1Profesional|Tlf2Profesional|Fax1Profesional|Fax2Profesional|EmailProfesional|PaginaWebProfesional|ApartadoProfesional|TelexProfesional|Construccion|Materiales|SistConstruc|ElemConstruc|ProcConstruc|ProdConstruc|AguaPotable|AguaServidas|Basura|DispExcretas|BioEnerRenov|Saneamiento|EnergiasAlternas|RedesSistemas|SistemasInformacionC|RedesDistAgua|SistemasInformacionA|Eolica|Solar|Fotovoltaica|Biogas|Biodisel|Biocombustibles|Hidraulica|Geotermica|Biomasa|SistemasInformacionE|Id
BO0146IIIP09T01|TRACCION DE MAQUINAS CON ANIMALES|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|César Eduardo Flores Ventura|Director|c. Puerto Pacheco Nº 14 esquina prolongación c. Arenales|Santa Cruz de la Sierra|3|591- 3 - 3343773|591-3/ 32.47.43|591-3/ 37.06.75||www.mcc.org |mcc.bolivia@mcc.org|Casilla 213||0146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|César Eduardo Flores Ventura|Director|c. Puerto Pacheco Nº 14 esquina prolongación c. Arenales|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@mcc.org|www.mcc.org |Casilla 213||Nestor PEREZ|Ingeniero Sanitario|c. Puerto Pacheco Nº 14 esquina prolongación c. Arenales|Santa Cruz de la Sierra|Bolivia|591-3/ 52.17.57|591-3/ 32.4743|591-3/ 37.06.75||mcc.bolivia@mcc.org|www.mcc.org |Casilla 213||False|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|1028
BO056IIP02T00|PROYECTO TECNOLOGICO EN SANEAMIENTO AMBIENTAL - PROTESA|OPS/OMS - Organización Panamericana y Organización Mundial de la Salud|Dr. Carlos A. LINGER|Representante en Bolivia|Edificio FONCOMON Mezanine of. 4A, Avenida 20 de octubre No. 2038|La Paz|3|591-2/ 36.26.46|591-2/ 36.79.31|591-2/ 39.12.96||||Casillas de Correo 9790, 2504 y 14005||056|OPS/OMS - Organización Panamericana y Organización Mundial de la Salud|Dr. Carlos A. LINGER|Representante en Bolivia|Edificio FONCOMON Mezanine of. 4A, Avenida 20 de octubre No. 2038|La Paz|Bolivia|591-2/ 36.26.46|591-2/ 36.79.31|591-2/ 39.12.96||||Casillas de Correo 9790, 2504 y 14005||Dr. Carlos A. LINGER|Médico|Edificio FONCOMON Mezanine of. 4A, Avenida 20 de octubre No. 2038|La Paz|Bolivia|591-2/ 36.26.46|591-2/ 36.79.31|591-2/ 39.12.96||||Casillas de Correo 9790, 2504 y 14005||False|False|False|False|False|False|True|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|553
BO107IP00T00|VIVIENDAS INTEGRALES|Tecnologías en desarrollo|Ing. Oliver Campero Rivero|Gerente|Edif. Santa Maria (Av. Oquendo entre Venezuela y F. Blanco), 4to. Piso of. 4 |Cochabamba|3|591-4-298635 |591-4-531103|591-4-298635||www.tecnologiadesarrollo.tk/| tecnologiadesarrollo@lycos.com|Casilla 3094 ||BO107|Tecnologías en desarrollo|Ing. MSc. Oliver Campero Rivero|Gerente|Edif. Santa Maria (Av. Oquendo entre Venezuela y F. Blanco) 4to. Piso of. 4|Cochabamba|Bolivia|591-4-298635|591-4-531103|591-4-298635|| tecnologiadesarrollo@lycos.com|www.tecnologiadesarrollo.tk/|Casilla 3094 ||Oliver Campero Rivero|Ingeniero MSc|Edif. Santa Maria (Av. Oquendo entre Venezuela y F. Blanco) 4to. Piso of. 4|Cochabamba|Bolivia|591-4-298635|591-4-531103|591-4-298635||oliver.campero@gmail.com|www.tecnologiadesarrollo.tk/|Casilla 3094 ||True|False|True|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|555
BO108IP00T00|Construcción de Viviendas|IBNORCA - Instituto Boliviano de Normalización y Calidad-,|Ing. Gonzalo Dalence Ergueta|DIRECTOR NACIONAL DE RELACIONES INTERNACIONALES|AVENIDA DEL EJÉRCITO NACIONAL Nº 487 (entre 1er y 2do anillos)|Santa Cruz de la Sierra|3|(591-3) 3551549||(591-3) 3113380||http://www.ibnorca.org|infosc@ibnorca.org|||BO108|IBNORCA - Regional Santa Cruz|Ing. Gonzalo Dalence Ergueta|DIRECTOR NACIONAL DE RELACIONES INTERNACIONALES, SECRETARIO TÉCNICO - COMITÉS CONSTRUCCIÓN|AVENIDA DEL EJÉRCITO NACIONAL Nº 487 (entre 1er y 2do anillos)|Santa Cruz de la Sierra|Bolivia|(591-3) 3551549||(591-3) 3113380||infosc@ibnorca.org|http://www.ibnorca.org|||Gonzalo Dalence Ergueta|Ingeniero|AVENIDA DEL EJÉRCITO NACIONAL Nº 487 (entre 1er y 2do anillos)|Santa Cruz de la Sierra|Bolivia|(591-3) 3551549||(591-3) 3113380||infosc@ibnorca.org|http://www.ibnorca.org|||True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|1032
BO109IP00T00|Viviendas Semilla|Constructora Casco Viejo|Jorge Rondón|Ingeniero residente|Calle La Riva # 291 / Colon|Santa Cruz de la Sierra|3|591-3/ 36.26.26||||||||BO109|Constructora Casco Viejo|Jorge Rondón|Ingeniero residente|Calle La Riva # 291 / Colon|Santa Cruz de la Sierra|Bolivia|591-3/ 36.26.26||||||||Jorge Rondón|Ingeniero|Calle La Riva # 291 / Colon|Santa Cruz de la Sierra|Bolivia|591-3/ 36.26.26||||||||True|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|557
BO110IIIP00T01|PRODUCCION, MANEJO Y UTILIZACION DEL BAMBU EN ARTESANIA Y CONSTRUCCION|UNIDAD FORESTAL|Arq. Guillermo CORTES MORENO |Coordinador del Proyecto|Av. Centenario con esq. 3er anillo|Santa Cruz de la Sierra|3|591-3/ 52.18.03||591-3/ 52.14.51||||||BO110|UNIDAD FORESTAL||Coordinador del Proyecto|Av. Centenario con esq. 3er anillo|Santa Cruz de la Sierra|Bolivia|591-3/ 52.18.03||591-3/ 52.14.51|||||| Guillermo CORTES MORENO |Arquitecto|Av. Centenario con esq. 3er anillo|Santa Cruz de la Sierra|Bolivia|591-3/ 52.18.03|||591-3/ 52.14.51|||||True|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|1034
BO111IP01T00|CABAÑA DE JATATA|LINEA RUSTICA SRL.|Freddy ROJAS C.|Jefe de departamento técnico|Av. Cañoto entre Peru y Fortin Corrales|Santa Cruz de la Sierra|3|591-3/ 36.67.11|591-3/ 33.52.24|591-3/ 33.2.143||||||111|LINEA RUSTICA SRL.|Freddy ROJAS C.|Jefe de departamento técnico|Av. Cañoto entre Peru y Fortin Corrales|Santa Cruz de la Sierra|Bolivia|591-3/ 36.67.11|591-3/ 33.52.24|||||||Freddy ROJAS C.|Arquitecto|Av. Cañoto entre Peru y Fortin Corrales|Santa Cruz de la Sierra|Bolivia|591-3/ 36.67.11|591-3/ 33.52.24|591-3/ 33.2.143||||||True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|1036
BO112IIP01T06|SISTEMA ALTERNATIVO DE AGUAS POTABLES|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|Wolfgang BUCHNER|Director EMAS|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Santa Cruz de la Sierra|3|55-91/ 79.78.84||||||||BO112|EMAS - Escuela Móvil de Aguas y Saneamiento Básico|Wolfgang BUCHNER|Director EMAS|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz, Bolivia|Santa Cruz de la Sierra|Bolivia|55-91/ 79.78.84||||||||Wolfgang BUCHNER|Director EMAS|Casa del Perforista, San Julián Prov. Ñuflo de Chávez, km. 140 carretera Santa Cruz|Santa Cruz de la Sierra|Bolivia|55-91/ 79.78.84||||||||False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|561
BO112IIP03T06|CURSO PARA CAPACITACION EN TECNICAS DE SANEAMIENTO BASICO RURAL|EMAS - Escuela Móvil de Aguas y Saneamiento|Ing. Wolfgang Eloy BUCHNER|Creador Sistema EMAS - Coordinador de los Cursos|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|La Paz|3|55-91/ 79.78.84||||www.emas-international.de/spanisch||||BO112|EMAS - Escuela Móvil de Aguas y Saneamiento|Ing. Wolfgang Eloy BUCHNER|Creador Sistema EMAS - Coordinador de los Cursos|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|La Paz|Bolivia|55-91/ 79.78.84|||||||| Wolfgang Eloy BUCHNER|Ingeniero|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz.|La Paz|Bolivia|55-91/ 79.78.84||||||||False|False|False|False|False|False|True|True|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|563
BO112IIP04T00|COBERTURA NACIONAL DE MICROEMPRESAS EN SANEAMIENTO BASICO CON TECNOLOGIAS - EMAS/OPS / CAPACITACION, EQUIPAMIENTO Y SEGUIMIENTO A 70 NUEVAS MICROEMPRESAS EN SANEAMIENTO BASICO A NIVEL NACIONAL|EMAS - Escuela Móvil Aguas y Saneamiento Básico |Wolfgang BUCHNER|Director  EMAS - Creador del Sistema EMAS|Sede Central: Urb. Amor de Dios, Calle 1, # 8. Sede Santa Cruz: Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz|La Paz|3|55-91/ 79.78.84||||www.emas-international.de/spanisch||||BO112|EMAS - Escuela Móvil Aguas y Saneamiento Básico |Wolfgang BUCHNER|Director  EMAS - Creador del Sistema EMAS|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz Sede Santa Cruz:Casa del Perforista San Julián Prov. Ñuflo de Chávez km. 140 carretera Santa Cruz Sede Central: Urb. Amor de Dios, Calle 1 # 8, La Paz (Bolivia)|La Paz|Bolivia|55-91/ 79.78.84||||||||Wolfgang BUCHNER|Ingeniero|Sede Central: Urb. Amor de Dios, Calle 1, # 8, La Paz|La Paz|Bolivia|55-91/ 79.78.84|||||www.emas-international.de/spanisch|||False|False|False|False|False|False|True|True|True|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|1040
BO113I-IIP01T00|EVALUACION, OPTIMIZACION Y POTENCIAL DE USO DE LA BOMBA DE SOGA EN MICRORIEGO|SEMTA -Servicios Múltiples de Tecnologías Apropiadas-|Ing. Gumercindo Benavidez  |Director Ejecutivo|SEMTA: Calle Alfredo Ascarrunz 2675|La Paz|3|591-241.00.42|591-241.47.78|591-241.14.94||www.semta.org|semta@entelnet.bo|Casilla 1497|2220 Cabpulp.B.V.SEMTA ||||||||||||||||Gumercindo Benavidez  |Ingeniero|SEMTA: Calle Alfredo Ascarrunz 2675|La Paz|Bolivia|591-241.14.94|591-241.47.78|591-241.14.94||semta@entelnet.bo|www.semta.org|Casilla 1497||False|False|False|False|False|True|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|565
BO146II-IIIP01T01|LAVANDERO PORTATIL|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Néstor PEREZ|Asesor Programa de Agua Potable y Saneamiento Ambi|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|3|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75|||mcc.bolivia@scbbs-bo.com|Casilla 213  ||146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Néstor PEREZ||Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com||Casilla 213  ||Néstor PEREZ||Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com||Casilla 213  ||False|False|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|1042
BO146II-IIIP02T01|BIODIGESTOR FAMILIAR|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Douglas ZEHR||Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|3|591-3/ 52.17.57|591-3/ 32.47.43||||mcc.bolivia@scbbs-bo.com|Casilla 213 ||146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Douglas ZEHR|Director Técnico|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 52.17.57|591-3/ 32.47.43|||Casilla 213 ||Casilla 213 ||Douglas ZEHR||Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 52.17.57|591-3/ 32.47.43|||mcc.bolivia@scbbs-bo.com||Casilla 213 ||False|False|False|False|False|True|False|False|False|False|False|True|True|False|False|False|False|False|False|False|True|False|False|False|False|False|False|805
BO146II-IIIP03T01|BIODIGESTOR INDUSTRIAL|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Néstor PEREZ|Asesor Programa de Agua Potable y Saneamiento Ambi|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|3|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75|||mcc.bolivia@scbbs-bo.com|Casilla 213||146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Néstor PEREZ|Asesor Programa de Agua Potable y Saneamiento Ambi|Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com||Casilla 213||Néstor PEREZ||Barrio La Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivia@scbbs-bo.com||Casilla 213||False|False|False|False|False|True|False|False|False|False|False|True|True|False|False|False|False|False|False|False|True|False|False|False|False|False|False|1044
BO146II-IIIP05T01|PERFORACION DE POZOS NO PROFUNDOS|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Barry BARTEL|Director|Barrio la Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|3|591-3/ 52.17.57|591-3/ 32.47.43|591-3/ 37.06.75||www.misionesmenonitaspr.org/|mcc.bolivia@scbbs-bo.com|Casilla 213||146|COMITÉ CENTRAL MENONITA - Agencia de Servicio Voluntario de las Iglesias Menonitas de E.E.U.U. y Canadá|Nestor PEREZ|Asesor Programa de Agua Potable y Saneamiento Ambiental|Barrio la Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivar@scbbs-bo.com|www.misionesmenonitaspr.org/|Casilla 213||Nestor PEREZ|Técnico en Saneamiento Básico|Barrio la Cuchilla, Camino a Tierras Nuevas (al frente de la U.E.B.), Calle Arenales, Esq. Puerto Pacheco|Santa Cruz de la Sierra|Bolivia|591-3/ 34.37.73|591-3/ 32.47.43|591-3/ 37.06.75||mcc.bolivar@scbbs-bo.com|www.misionesmenonitaspr.org/|Casilla 213||False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|807
