Cod_Proyecto|Construccion|Materiales|SistConstruc|ElemConstruc|ProcConstruc|ProdConstruc|AguaPotable|AguaServidas|Basura|DispExcretas|BioEnerRenov|Saneamiento|EnergiasAlternas|RedesSistemas|SistemasInformacionC|RedesDistAgua|SistemasInformacionA|Eolica|Solar|Fotovoltaica|Biogas|Biodisel|Biocombustibles|Hidraulica|Geotermica|Biomasa|SistemasInformacionE
BO0146IIIP09T01|False|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO056IIP02T00|False|False|False|False|False|False|True|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False
BO107IP00T00|True|False|True|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO108IP00T00|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO109IP00T00|True|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO110IIIP00T01|True|True|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO111IP01T00|True|True|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO112IIP01T06|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO112IIP03T06|False|False|False|False|False|False|True|True|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO112IIP04T00|False|False|False|False|False|False|True|True|True|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO113I-IIP01T00|False|False|False|False|False|True|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO146II-IIIP01T01|False|False|False|False|False|False|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO146II-IIIP02T01|False|False|False|False|False|True|False|False|False|False|False|True|True|False|False|False|False|False|False|False|True|False|False|False|False|False|False
BO146II-IIIP03T01|False|False|False|False|False|True|False|False|False|False|False|True|True|False|False|False|False|False|False|False|True|False|False|False|False|False|False
BO146II-IIIP05T01|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO146II-IIIP06T01|False|False|False|False|False|True|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO146IIP00aT01|False|False|False|False|False|False|False|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO146IP08T01|True|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO147IIP01T00|False|False|False|False|False|False|False|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO147IIP03T01|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO147IIP04T01|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO147IIP05T01|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO147IIP06T01|False|False|False|False|False|False|False|False|False|True|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO148I-IIP09T01|False|False|False|False|False|True|False|False|True|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO148IIP01T00|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO148IIP02T01|False|False|False|False|False|False|True|False|False|False|False|True|True|False|False|False|False|False|False|False|False|False|False|True|False|False|False
BO148iip03t01|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
BO148IIP04T02|False|False|False|False|False|False|True|False|False|False|False|True|False|False|False|False|False|False|False|False|False|False|False|False|False|False|False
