Cod_InstitucionEjecutora|Cod_InstitucionEjecutora2|Institucion|NombreInstitucion|Institucion2|Direccion|DireccionInstitucion|DireccionProfesional|Ciudad|CiudadInstitucion|CiudadProfesional|PaisInstitucion|PaisProfesional|Tlf1Proyecto|Telefono1|Telefono2|FaxProyecto|Fax1Proyecto|Fax2Proyecto|EmailProyecto|Email|PaginaWeb|ApartadoAereo
|151|||EMPRESA DESENTRALIZADA DE LAS ALCALDIAS||||||||||||||||||
|159|||Núcleo de Ação para o Desenvolvimento Sustentável na Amazônia (POEMAR)||||||||||||||||||
|166|||OMS||||||||||||||||||
|166|||OMS_ORGANIZACION MUNDIAL DE LA SALUD||||||||||||||||||
|167|||SERVICIO ALEMAN DE COOP. SOCIAL-TECNICA (DED)||||||||||||||||||
|170|||EMBAJADA DE HOLANDA||||||||||||||||||
|182|||SNV||||||||||||||||||
|200|||FIDA - Fondo Internacional de Desarrollo Agrícola||||||||||||||||||
|202|||CAF- Corporación Andina de Fomento||||||||||||||||||
|203|||CLISA_Compañía Latinoamericana de Infraestructura Servicios||||||||||||||||||
|204|||SECRETARIA DE AMBIENTE Y DESARROLLO SUSTENTABLE DE LA NACION||||||||||||||||||
|206|||Prefeitura  Municipal de Viceu||||||||||||||||||
|212|||Prefeitura Municipal de Altamira||||||||||||||||||
|214|||IDRC_CENTRO INTERNACIONAL DEL DESARROLLO PARA EL CANADA||||||||||||||||||
|215|||Prefeitura Municipal de Portel||||||||||||||||||
|223|||Núcleo de Meio Ambiente na Amazônia (NUMA)||||||||||||||||||
|228|||SENCO Ltda.||||||||||||||||||
|230|||Servicio Autónomo Programa Nacional  Vivienda Rural||||||||||||||||||
|231|||Instituto Altos Estudios de Salud Pública Dr. Arnoldo Gabaldon||||||||||||||||||
|233|||SENCICO_SERVICIO NACIONAL DE CAPACITACION PARA LA INDUSTRIA DE LA CONSTRUCCION||||||||||||||||||
|234|||DESCO_CENTRO DE ESTUDIOS Y PROMOCION DEL DESARROLLO||||||||||||||||||
|235|||CIDAP_CENTRO DE INVESTIGACION, DOCUMENTACIO Y ASESORIA POBLACIONAL||||||||||||||||||
|236|||SECAB_SECRETARIA EJECUTIVA DEL CONVENIO ANDRES BELLO||||||||||||||||||
|237|||IPSE_INSTITUTO DE PLANIFICACION Y PROMOCION DE SOLUCIONES ENERGETICAS PARA LAS ZONAS NO INTERCONECTADAS||||||||||||||||||
|238|||CARICOM_COMUNIDAD DEL CARIBE||||||||||||||||||
